teleport_local,1,24.29
teleport_model,1,27.61
teleport_local,2,30.43
orb_touch,1,31.06,********
model_move,1,37.21
model_hand,1,39.92
model_move,2,40.55
model_hand,2,43.39
model_move,3,46.65
model_move,4,48.4
model_hand,3,53.93
model_hand,4,54.62
model_hand,5,58.13
model_move,5,59.94
model_move,6,61.94
model_hide,1,65.18999
model_move,7,66.58
model_hide,2,67.27
model_move,8,68.39
model_hide,3,69.31
model_move,9,70.04
model_hide,4,70.73
model_move,10,71.68
model_hand,6,72.82
model_hand,7,73.74
model_hand,8,75.85
cp_hand,1,83.25
cp_hand,2,86.00999
model_move,11,89.07
teleport_local,3,91.73
model_move,12,95.77
model_move,13,98.77
teleport_model,2,104.48
model_move,14,107.55
cp_hand,3,116.54
teleport_model,3,126.43
teleport_local,4,128.03
teleport_local,5,133.46
model_move,15,140.41
model_hand,9,154.84
model_hide,5,157.44
model_move,16,159.04
cp_hand,4,170.27
teleport_model,4,172.46
model_move,17,176.96
teleport_model,5,183.37
teleport_local,6,186.34
orb_touch,2,187.35,********
model_move,18,188.36
cp_hand,5,197.51
teleport_model,6,200.76
teleport_local,7,207.17
model_move,19,209.53
cp_hand,6,212.93
teleport_model,7,214.73
teleport_local,8,220.57
orb_touch,3,221.79,********
model_move,20,223.04
model_hand,10,226.77
teleport_local,9,229.22
teleport_local,10,231.65
model_move,21,234.92
teleport_local,11,238.34
model_move,22,241.4
teleport_local,12,243.71
model_hide,6,254.01
avatar_buttons,1,257.89
teleport_local,13,258.3
model_move,23,258.86
model_buttons,1,259.83
model_move,24,260.52
avatar_buttons,2,261.26
teleport_model,8,261.68
model_move,25,263.97
cp_hand,7,267.39
model_hide,7,268.49
model_move,26,269.45
model_hand,11,272.39
model_hide,8,275.98
model_move,27,276.84
model_hand,12,280.7
cp_hand,8,285.19
teleport_model,9,286.26
model_move,28,288.08
model_buttons,2,289.5
model_move,29,291.78
avatar_buttons,3,294.36
teleport_model,10,294.78
avatar_buttons,4,302.91
teleport_local,14,303.33
cp_hand,9,309.76
teleport_model,11,311.05
model_move,30,315.48
teleport_model,12,326.52
teleport_local,15,329.2
avatar_buttons,5,332.69
teleport_local,16,333.12
teleport_local,17,335.29
orb_touch,4,336,********
model_move,31,336.95
model_hand,13,339.64
cp_hand,10,342.38
teleport_model,13,348.33
teleport_local,18,351.36
orb_touch,5,354.68,********
model_move,32,355.71
teleport_model,14,360.46
teleport_local,19,362.86
teleport_local,20,364.17
orb_touch,6,364.94,********
model_move,33,365.91
model_hide,9,366.49
model_move,34,367.11
cp_hand,11,375.28
teleport_model,15,382.34
avatar_buttons,6,385.08
teleport_local,21,385.5
avatar_buttons,7,387.87
teleport_local,22,388.29
avatar_buttons,8,389.66
teleport_local,23,390.08
teleport_local,24,391.7
orb_touch,7,392.34,********
model_move,35,393.19
teleport_local,25,399.18
teleport_local,26,400.48
orb_touch,8,401.33,********
model_move,36,402.1
model_hand,14,405.64
model_hand,15,406.33
model_hide,10,410.91
avatar_buttons,9,413.28
teleport_local,27,413.7
model_move,37,444.35
model_move,38,445.14
teleport_model,16,451.46
model_move,39,453.81
teleport_model,17,457.83
orb_touch,9,458.8,********
model_move,40,459.71
teleport_local,28,463.37
teleport_local,29,464.82
teleport_local,30,466.5
model_move,41,467.48
teleport_model,18,470.1
model_move,42,473.02
model_move,43,482.88
model_move,44,483.41
teleport_model,19,490.6
teleport_local,31,492.65
orb_touch,10,494.77,********

*****STATS*****

FINISH_TIME,494.77
model_hand,15
model_buttons,2
model_move,44
model_hide,10
cp_hand,11
cp_buttons,0
avatar_hand,0
avatar_buttons,9
teleport_model,19
teleport_local,31
orb_touch,10
model_move,45,496.23
