model_hand,1,28.02
model_hand,2,30
cp_hand,1,41.08
cp_hand,2,54.47
teleport_local,1,60.29
teleport_local,2,63.14
orb_touch,1,68.91,********
teleport_local,3,80.59
teleport_local,4,84.33
teleport_local,5,87.52
model_move,1,89.82999
model_move,2,97.78
model_hide,1,101.23
teleport_local,6,106.28
teleport_local,7,108.59
teleport_local,8,112.52
orb_touch,2,113.09,********
teleport_local,9,118.96
model_move,3,130.62
teleport_model,1,137.12
teleport_local,10,155.62
teleport_local,11,159.72
model_move,4,160.14
teleport_local,12,177.42
teleport_local,13,179.55
teleport_model,2,185.18
teleport_local,14,193.02
teleport_local,15,195.42
teleport_local,16,198.59
orb_touch,3,199.36,********
teleport_local,17,206.93
orb_touch,4,210.67,********
teleport_local,18,215.72
model_move,5,216.73
cp_hand,3,221.84
teleport_model,3,223.55
teleport_local,19,226.01
teleport_local,20,227.31
teleport_local,21,230.14
orb_touch,5,230.59,********
model_move,6,232.47
model_move,7,236.9
teleport_model,4,241.07
teleport_local,22,247.97
teleport_local,23,250.75
teleport_local,24,255.9
teleport_local,25,265.87
teleport_local,26,269.85
teleport_local,27,271.49
teleport_local,28,281.19
teleport_local,29,284.01
teleport_local,30,287.58
teleport_local,31,291.55
teleport_local,32,298.17
teleport_local,33,302.26
teleport_local,34,305.12
teleport_local,35,308.65
teleport_local,36,310.62
teleport_local,37,324.25
teleport_local,38,326.02
orb_touch,6,327.69,********
model_move,8,336.51
teleport_model,5,347.95
model_move,9,354.89
teleport_model,6,360.24
teleport_local,39,365.99
teleport_local,40,368.35
teleport_local,41,370.49
orb_touch,7,370.5,********
teleport_local,42,374.74
teleport_local,43,376.54
teleport_local,44,378.86
avatar_hand,1,385.6
teleport_local,45,386.02
avatar_buttons,1,395.73
teleport_local,46,396.14
teleport_local,47,399.1
model_move,10,399.95
model_move,11,404.69
teleport_model,7,407.61
avatar_buttons,2,418.14
teleport_model,8,418.55
teleport_local,48,423.47
teleport_local,49,425.96
teleport_local,50,429.01
orb_touch,8,429.87,********
model_move,12,434.69
model_hide,2,436.48
teleport_local,51,438.24
model_move,13,438.74
teleport_model,9,443.41
model_move,14,445.02
teleport_model,10,448.77
teleport_local,52,451.66
teleport_local,53,453.64
teleport_local,54,455.56
orb_touch,9,455.71,********
teleport_local,55,460
teleport_local,56,462.99
teleport_local,57,466.02
model_move,15,467.99
model_move,16,469.65
cp_hand,4,500.51
teleport_model,11,504.54
model_move,17,507.09
teleport_model,12,513.1
teleport_local,58,515.41
teleport_local,59,517.42
model_move,18,520.18
teleport_model,13,525.52
teleport_local,60,528.2
teleport_local,61,529.79
teleport_local,62,535.02
model_move,19,535.59
teleport_model,14,542.84
teleport_local,63,550.35
model_move,20,551.93
model_move,21,553.52
teleport_model,15,564.1
teleport_local,64,569.39
teleport_local,65,573.96
teleport_local,66,577.1
teleport_local,67,583.43
teleport_local,68,586.46
teleport_local,69,602.1
teleport_local,70,613.27
teleport_local,71,615.5
teleport_local,72,617.92
teleport_local,73,619.52
teleport_local,74,623.56
teleport_local,75,625.34
teleport_local,76,627.48
model_move,22,630.07
teleport_local,77,633.05
teleport_model,16,638.33
teleport_local,78,642.97
model_move,23,651.63
teleport_local,79,659.67
model_move,24,663.42
model_hide,3,667.25
teleport_local,80,676.07
teleport_local,81,685.13
model_move,25,696.56
teleport_model,17,705.05
orb_touch,10,710.76,********

*****STATS*****

FINISH_TIME,710.76
model_hand,2
model_buttons,0
model_move,25
model_hide,3
cp_hand,4
cp_buttons,0
avatar_hand,1
avatar_buttons,2
teleport_model,17
teleport_local,81
orb_touch,10
teleport_local,82,726.01

